inningNo,opponent,isHome,batterHeight,batterHand,pitcherHand,homeTeamRuns,awayTeamRuns,runnersOn,avgFFspeed,avgFFzone,event
1,bos,false,6-4,R,L,0,0,0,95,11,Groundout
1,bos,false,5-11,R,L,0,0,0,95.33333333333333,11,Strikeout
1,bos,false,6-2,R,L,0,0,0,95.33333333333333,11,Strikeout
2,bos,false,6-0,R,L,0,0,0,95,11,Strikeout
2,bos,false,6-3,L,L,0,1,1,95,11,Home Run
2,bos,false,6-1,R,L,0,1,0,95,11,Lineout
2,bos,false,6-0,R,L,0,1,0,94.57142857142857,11,Strikeout
3,bos,false,6-1,L,L,0,1,0,94.4,11,Strikeout
3,bos,false,6-1,R,L,0,1,0,94.41666666666667,11,Strikeout
3,bos,false,6-4,R,L,0,1,0,94.28571428571429,11,Strikeout
4,bos,false,5-11,R,L,2,1,0,94.13333333333334,11,Strikeout
4,bos,false,6-2,R,L,2,1,0,94.13333333333334,11,Groundout
4,bos,false,6-0,R,L,2,1,0,94.13333333333334,11,Flyout
5,bos,false,6-3,L,L,2,1,0,94.45,11,Strikeout
5,bos,false,6-1,R,L,2,1,0,94.27272727272727,11,Groundout
5,bos,false,6-0,R,L,2,1,1,94.26086956521739,11,Walk
5,bos,false,6-1,L,L,2,3,2,94.36,11,Home Run
5,bos,false,6-1,R,L,2,3,0,94.36,11,Lineout
6,bos,false,6-4,R,L,6,3,0,94.36,11,Flyout
6,bos,false,5-11,R,L,6,3,1,94.34615384615384,11,Walk
6,bos,false,6-2,R,L,6,3,0,94.34615384615384,11,Strikeout
6,bos,false,6-0,R,L,6,3,1,94.34615384615384,11,Strikeout
7,bos,false,6-3,L,L,6,3,0,94.29629629629629,11,Pop Out
7,bos,false,6-1,R,L,6,3,0,94.35714285714286,11,Strikeout
7,bos,false,6-0,R,L,6,3,0,94.48387096774194,11,Flyout
8,bos,false,6-1,L,R,6,3,0,94.48387096774194,11,Groundout
8,bos,false,6-1,L,R,6,3,1,94.48387096774194,11,Single
8,bos,false,6-4,R,R,6,3,0,94.48387096774194,11,Strikeout
8,bos,false,6-2,L,R,6,3,1,94.48387096774194,11,Strikeout
9,bos,false,6-2,R,R,6,3,0,94.72727272727273,11,Groundout
9,bos,false,6-0,R,R,6,3,0,95.12820512820512,11,Strikeout
9,bos,false,6-3,L,R,6,3,0,95.37209302325581,11,Strikeout
